mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
daggubati purandeshwari,Daggubati Purandeshwari,Andhra Pradesh,63000000.0,19,3315789.4736842103,8000000.0,147000000.0,147000000.0,True,42.857142857142854,84000000.0,NORMAL,15.0
daggumalla prasada rao,DAGGUMALLA PRASADA RAO,Andhra Pradesh,47093688.0,90,523263.2,3100000.0,147000000.0,147000000.0,True,32.036522448979596,99906312.0,NORMAL,15.0
damodar agarwal,DAMODAR AGARWAL,Rajasthan,48831699.0,104,469535.5673076923,673050.0,147000000.0,147000000.0,True,33.21884285714285,98168301.0,NORMAL,15.0
daroga prasad saroj,DAROGA PRASAD SAROJ,Uttar Pradesh,34590763.0,102,339125.1274509804,1609758.0,147000000.0,147000000.0,True,23.531131292517006,112409237.0,NORMAL,15.0
darshan singh choudhary,DARSHAN SINGH CHOUDHARY,Madhya Pradesh,20476951.0,138,148383.70289855072,1000000.0,147000000.0,147000000.0,True,13.929898639455782,126523049.0,NORMAL,15.0
dean kuriakose,Adv Dean Kuriakose,Kerala,72617097.0,114,636992.0789473684,8676888.0,147000000.0,147000000.0,True,49.399385714285714,74382903.0,NORMAL,15.0
deepak dev adhikari,Shri Deepak (Dev) Adhikari,West Bengal,54246774.0,121,448320.4462809917,5999949.0,200747364.0,200747364.0,True,27.022409121147913,146500590.0,NORMAL,15.0
deepender singh hooda,DEEPENDER SINGH HOODA,Haryana,49026600.0,69,710530.4347826086,2100000.0,147000000.0,147000000.0,True,33.35142857142857,97973400.0,NORMAL,15.0
devendra alias bhole singh,Devendra Alias Bhole Singh,Uttar Pradesh,47218895.0,66,715437.803030303,3080958.0,147000000.0,147000000.0,True,32.12169727891157,99781105.0,NORMAL,15.0
devesh chandra thakur,DEVESH CHANDRA THAKUR,Bihar,15817152.0,56,282449.14285714284,1449900.0,163809205.11,163809205.11,True,9.65583832079435,147992053.11,NORMAL,15.0
devesh shakya,DEVESH SHAKYA,Uttar Pradesh,43590797.0,181,240833.13259668509,241000.0,147000000.0,147000000.0,True,29.653603401360545,103409203.0,NORMAL,15.0
devusinh jesingbhai chauhan,Devusinh Jesingbhai Chauhan,Gujarat,34676131.0,170,203977.2411764706,767614.0,147000000.0,147000000.0,True,23.58920476190476,112323869.0,NORMAL,15.0
dhairyasheel sambhajirao mane,Dhairyasheel Sambhajirao Mane,Maharashtra,8901717.0,5,1780343.4,3968967.0,147000000.0,147000000.0,True,6.055589795918367,138098283.0,NORMAL,15.0
dhanorkar pratibha suresh alias balubhau,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Maharashtra,16615160.0,13,1278089.2307692308,2500000.0,147000000.0,147000000.0,True,11.30282993197279,130384840.0,NORMAL,15.0
dharambir singh,Shri  Dharambir Singh,Haryana,19393540.0,36,538709.4444444445,2100000.0,147000000.0,147000000.0,True,13.192884353741496,127606460.0,NORMAL,15.0
dharamvira gandhi,DR DHARAMVIRA GANDHI,Punjab,14853237.0,61,243495.68852459016,500000.0,147000000.0,147000000.0,True,10.104242857142857,132146763.0,NORMAL,15.0
dharmendra pradhan,DHARMENDRA PRADHAN,Odisha,1500000.0,1,1500000.0,1500000.0,147000000.0,147000000.0,True,1.0204081632653061,145500000.0,NORMAL,15.0
dharmendra yadav,DHARMENDRA YADAV,Uttar Pradesh,32219435.0,20,1610971.75,3481605.0,147000000.0,147000000.0,True,21.91798299319728,114780565.0,NORMAL,15.0
dhaval laxmanbhai patel,DHAVAL LAXMANBHAI PATEL,Gujarat,25046339.0,52,481660.3653846154,2089000.0,147000000.0,147000000.0,True,17.038325850340136,121953661.0,NORMAL,15.0
dileshwar kamait,Dileshwar Kamait,Bihar,58072940.0,44,1319839.5454545454,4000000.0,150450930.89,150450930.89,True,38.59925602086117,92377990.88999999,NORMAL,15.0
dilip saikia,Dilip Saikia,Assam,2000000.0,6,333333.3333333333,500000.0,147000000.0,147000000.0,True,1.3605442176870748,145000000.0,NORMAL,15.0
dimple yadav,Smt Dimple Yadav,Uttar Pradesh,37374797.0,47,795208.4468085107,2546900.0,192042469.11,192042469.11,True,19.46173529907704,154667672.11,NORMAL,15.0
dinesh chandra yadav,Dinesh Chandra Yadav,Bihar,31451021.0,25,1258040.84,1475021.0,150070866.11,150070866.11,True,20.95744618209027,118619845.11000001,NORMAL,15.0
dineshbhai makwana,DINESHBHAI MAKWANA,Gujarat,29373210.0,47,624961.914893617,4999918.0,160434965.11,160434965.11,True,18.308484051379114,131061755.11000001,NORMAL,15.0
durai vaiko,DURAI VAIKO,Tamil Nadu,45091219.0,41,1099785.8292682928,4800000.0,147000000.0,147000000.0,True,30.67429863945578,101908781.0,NORMAL,15.0
