state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Rajasthan,PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA),7,3347140.0,478162.85714285716,60.457142857142856,2,28.57142857142857,26.282744282744282,34.17439857439857,85.0,IDA average risk (60.5) is significantly higher than state baseline (26.3). | High concentration of flagged projects (28.6% critical/high risk).
Rajasthan,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),15,12499936.0,833329.0666666667,31.5,0,0.0,26.282744282744282,5.217255717255718,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),61,32780765.0,537389.5901639344,23.1655737704918,0,0.0,26.282744282744282,-3.117170512252482,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,SIROHI(DISTRICT COLLECTOR SIROHI_IDA),8,5701353.0,712669.125,20.7,0,0.0,26.282744282744282,-5.582744282744283,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Salumbar(DISTRICT COLLECTOR Salumbar_IDA),3,1793000.0,597666.6666666666,48.13333333333333,1,33.33333333333333,26.282744282744282,21.85058905058905,85.0,IDA average risk (48.1) is significantly higher than state baseline (26.3). | High concentration of flagged projects (33.3% critical/high risk).
Rajasthan,Sanchor(DISTRICT COLLECTOR Sanchor_IDA),9,6399237.0,711026.3333333334,23.71111111111111,0,0.0,26.282744282744282,-2.5716331716331737,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Shahpura(DISTRICT COLLECTOR Shahpura_IDA),54,23690182.0,438707.0740740741,25.47962962962963,0,0.0,26.282744282744282,-0.8031146531146511,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA),14,15129338.0,1080667.0,21.585714285714285,0,0.0,26.282744282744282,-4.697029997029997,20.0,District and IDA parameters match regional baseline standards.
Sikkim,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),12,24500000.0,2041666.6666666667,28.008333333333336,0,0.0,31.45714285714286,-3.4488095238095227,20.0,District and IDA parameters match regional baseline standards.
Sikkim,Gyalshing(DISTRICT COLLECTOR GYALSHING_IDA),4,12000000.0,3000000.0,61.875,2,50.0,31.45714285714286,30.41785714285714,85.0,IDA average risk (61.9) is significantly higher than state baseline (31.5). | High concentration of flagged projects (50.0% critical/high risk).
