work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP18145/2025-2026/160351-Construction of rooms and halls in school and colleges,Odisha,Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA),BAIJAYANT PANDA,KENDRAPARA,Normal/Others,Construction of classroom of Saraswati Sishu Vidya Mandir,2024-12-20,2025-05-20,800000.0,151,Physical Inspection,24.3,15.0,45.0,100.00000000000004,15.0,7.29,2.25,6.75,10.0,1.5,35.97,100.00000000000004,73.8,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,74.4,7.0,7.0,41.79,100.00000000000004,73.8,73.8,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18306/2026-2027/187663-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Normal/Others,Construction of  keeranallur  Sc Colony area kulikkadavu,2025-03-29,2026-07-03,800000.0,461,Sanction,32.0,15.0,100.0,0.0,15.0,9.6,2.25,15.0,0.0,1.5,32.3,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 461 days.,65.0,70.0,72.9,6.5,7.0,41.85,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 461 days. | High degree centrality and project volume concentration in agency network graph.
WS/MP18145/2025-2026/160355-Construction of rooms and halls in school and colleges,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),BAIJAYANT PANDA,KENDRAPARA,Normal/Others,Construction of classroom of Saraswati Sishu Vidya Mandir,2024-12-20,2025-07-01,800000.0,193,Sanction,39.1,15.0,75.0,100.00000000000004,15.0,11.73,2.25,11.25,10.0,1.5,46.39,100.00000000000004,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 193 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,20.0,30.0,78.6,2.0,3.0,41.730000000000004,100.00000000000004,73.8,73.8,Recommendation-to-sanction approval delay of 193 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/MP541/2026-2027/153742-Construction of public libraries and reading rooms,Assam,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,Normal/Others,"Construction of additional class room at Juria college, Juria",2024-11-21,2026-07-16,500000.0,602,Vendor Identification,45.1,15.0,100.0,0.0,15.0,13.53,2.25,15.0,0.0,1.5,37.54,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 602 days.,50.0,45.0,75.0,5.0,4.5,41.78,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 602 days.
WS/MP18172/2026-2027/175679-Construction of community centers and community halls,Rajasthan,PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA),MANNA LAL RAWAT,UDAIPUR(ST),Normal/Others,"near vaga bavji  devsathan, barhadri chotra nirmaan",2025-02-18,2026-04-02,500000.0,408,Sanction,30.3,15.0,100.0,0.0,15.0,9.09,2.25,15.0,0.0,1.5,31.619999999999997,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 408 days.,85.0,55.0,72.6,8.5,5.5,41.84,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 408 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
"WS/MP18146/2026-2027/177755-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA),ANANTA NAYAK,KEONJHAR(ST),Normal/Others,"Construction of CC Road from Krushnapur Talasahi to Krushnapur UGME School, Gp-Gadabandhogoda, Block-Ghasipura",2025-03-08,2026-05-15,250000.0,433,Work partially Completed,39.8,15.0,100.0,0.0,15.0,11.94,2.25,15.0,0.0,1.5,35.42,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 433 days.,65.0,45.0,74.2,6.5,4.5,41.69,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 433 days.
WS/MP18024/2025-2026/154011-Construction of public toilets and bathrooms,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,Normal/Others,"Construction of latrine and Toilet at Changmai Gaon Namghar & Cultural Centre, Cherekapar GP",2024-11-22,2025-12-30,250000.0,403,Vendor Identification,35.2,15.0,100.0,0.0,15.0,10.56,2.25,15.0,0.0,1.5,33.58,100.0,73.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 403 days.,55.0,70.0,73.4,5.5,7.0,41.81,100.0,73.8,73.8,Recommendation-to-sanction approval delay of 403 days. | High degree centrality and project volume concentration in agency network graph.
"WS/MP347/2026-2027/196533-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),Shri Suresh Kodikunnil,MAVELIKKARA(SC),Normal/Others,Concreating of road from Naripanayil (Chakochipadam Road) in Thekkekkara GP,2025-05-04,2026-05-30,710000.0,391,Sanction,29.5,15.0,100.0,0.0,15.0,8.85,2.25,15.0,0.0,1.5,31.3,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 391 days.,70.0,70.0,72.5,7.0,7.0,41.6,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 391 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18258/2026-2027/183812-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,Normal/Others,"Construction of cement road from Shri Ramrao Tonge house to Shri Salve farm in Mouja Kotimakta, Taluka Ballarpur.",2025-03-20,2026-06-18,1500000.0,455,Physical Inspection,24.6,15.0,100.0,0.0,15.0,7.38,2.25,15.0,0.0,1.5,29.34,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 455 days.,85.0,70.0,71.7,8.5,7.0,41.629999999999995,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 455 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP347/2026-2027/184206-Purchase of IT systems, including hardware and software for educational purposes",Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),Shri Suresh Kodikunnil,MAVELIKKARA(SC),Normal/Others,"Digitalized class room at Govt.LPS, Chathiyara, ward 15, Thamarakulam",2025-03-20,2026-06-29,500000.0,466,Sanction,29.5,15.0,100.0,0.0,15.0,8.85,2.25,15.0,0.0,1.5,31.3,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 466 days.,70.0,70.0,72.5,7.0,7.0,41.6,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 466 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP623/2026-2027/174164-Construction of community centers and community halls,Karnataka,VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),Ramesh Chandappa Jigajinagi,BIJAPUR(SC),Normal/Others,Construction of community hall Near Aranya Siddeshwar Temple at Kanamadi,2025-02-26,2026-07-02,300000.0,491,Sanction,29.5,15.0,100.0,0.0,15.0,8.85,2.25,15.0,0.0,1.5,31.3,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 491 days.,70.0,70.0,72.5,7.0,7.0,41.6,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 491 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18190/2025-2026/162240-Installing tube-wells and borewells,Telangana,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others,Drilling of Borewell and fixing of 3.0 HP pumpset near village entrance at Manubothulagadda Village,2025-01-03,2026-02-04,158964.0,397,Physical Inspection,20.9,15.0,100.0,0.0,15.0,6.27,2.25,15.0,0.0,1.5,27.86,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 397 days.,95.0,70.0,71.1,9.5,7.0,41.519999999999996,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 397 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18105/2025-2026/185753-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),ASHISH DUBEY,JABALPUR,Normal/Others,Construction of community hall for cultural activity rangmanch near Khair Mai.,2025-03-23,2025-11-06,215000.0,228,Sanction,20.5,15.0,75.0,100.0,15.0,6.15,2.25,11.25,10.0,1.5,38.95,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 228 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,50.0,55.0,75.6,5.0,5.5,41.65,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 228 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/MP761/2025-2026/153965-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of Community hall in Vishwakarma Manumaya wada in Sairam Colony,2024-11-22,2026-01-03,300000.0,407,Work Completed,34.7,15.0,100.0,0.0,15.0,10.41,2.25,15.0,0.0,1.5,33.38,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 407 days.,80.0,45.0,73.4,8.0,4.5,41.66,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 407 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18024/2025-2026/177139-Construction of community centers and community halls,Assam,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,Normal/Others,"Development of Social Cultural Kendra, Dephar Bortal, Namtidol GP",2025-02-24,2026-02-25,200000.0,366,Vendor Identification,34.2,15.0,100.0,0.0,15.0,10.26,2.25,15.0,0.0,1.5,33.18,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 366 days.,55.0,70.0,73.3,5.5,7.0,41.51,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 366 days. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18258/2026-2027/183793-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,Normal/Others,"Construction of cement concrete road from the house of Shri Muralidhar Burande in Mauja Itoli, Tal. Ballarpur to Itoli Lake.",2025-03-20,2026-06-18,1500000.0,455,Physical Inspection,24.6,15.0,100.0,0.0,15.0,7.38,2.25,15.0,0.0,1.5,29.34,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 455 days.,85.0,70.0,71.7,8.5,7.0,41.629999999999995,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 455 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP761/2025-2026/153983-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of Community hall near Shalivahana Kummari Sangham, Ailapur",2024-11-22,2026-01-22,250000.0,426,Work Completed,34.4,15.0,100.0,0.0,15.0,10.32,2.25,15.0,0.0,1.5,33.26,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 426 days.,80.0,45.0,73.3,8.0,4.5,41.57,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 426 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18100/2026-2027/167272-Development of public parks,Madhya Pradesh,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,Normal/Others,Construction of  Beautification of  Pench River Ghat,2025-01-21,2026-07-21,200000.0,546,Time Estimation,50.7,15.0,100.0,0.0,15.0,15.21,2.25,15.0,0.0,1.5,39.78,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 546 days.,30.0,45.0,75.9,3.0,4.5,41.46,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 546 days.
WS/MP18145/2025-2026/160336-Construction of rooms and halls in school and colleges,Odisha,Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA),BAIJAYANT PANDA,KENDRAPARA,Normal/Others,Construction of classroom of Saraswati Sishu Mandir,2024-12-20,2025-05-02,800000.0,133,Physical Inspection,23.7,15.0,45.0,100.00000000000004,15.0,7.11,2.25,6.75,10.0,1.5,35.730000000000004,100.00000000000004,73.7,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,74.3,7.0,7.0,41.61,100.00000000000004,73.7,73.7,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP761/2026-2027/191987-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall in Gouda wada at Yusufnagar (V) Korutla (M),2025-05-16,2026-08-17,250000.0,458,Sanction,34.5,15.0,100.0,0.0,15.0,10.35,2.25,15.0,0.0,1.5,33.3,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 458 days.,80.0,45.0,73.3,8.0,4.5,41.6,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 458 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18145/2025-2026/160346-Construction of rooms and halls in school and colleges,Odisha,Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA),BAIJAYANT PANDA,KENDRAPARA,Normal/Others,Construction of classroom of Saraswati Sishu Mandir,2024-12-20,2025-05-01,800000.0,132,Physical Inspection,23.6,15.0,45.0,100.00000000000004,15.0,7.08,2.25,6.75,10.0,1.5,35.69,100.00000000000004,73.7,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,74.3,7.0,7.0,41.58,100.00000000000004,73.7,73.7,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18258/2026-2027/183805-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,Normal/Others,"Construction of cement road from Homeless Colony Anganwadi to Kavadjai Road in Ward No. 4, Mauja Kothari, Tal. Ballarpur.",2025-03-20,2026-06-17,1500000.0,454,Physical Inspection,24.0,15.0,100.0,0.0,15.0,7.2,2.25,15.0,0.0,1.5,29.1,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 454 days.,85.0,70.0,71.6,8.5,7.0,41.45,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 454 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP021/2026-2027/192574-Development of playground,Uttarakhand,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,Normal/Others,Janpad Nainital  ke antargat rajkiy uchchatar Madhyamik Vidyalay gram sunkiya Mein Khel Maidan Nirman Karya Hetu,2025-04-21,2026-04-22,500000.0,366,Sanction,26.0,15.0,100.0,0.0,15.0,7.8,2.25,15.0,0.0,1.5,29.9,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 366 days.,80.0,70.0,72.0,8.0,7.0,41.55,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 366 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18100/2025-2026/180561-Purchase of mobile water tankers,Madhya Pradesh,Pandhurna(District Collector Pandhurna_IDA),BUNTY VIVEK SAHU,CHHINDWARA,Normal/Others,Dirinking Water Tanker For All Wards Sausar NP 1 NOS,2025-03-09,2026-03-16,125000.0,372,Sanction,29.7,15.0,100.0,0.0,15.0,8.91,2.25,15.0,0.0,1.5,31.380000000000003,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 372 days.,70.0,70.0,72.6,7.0,7.0,41.66,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 372 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18152/2024-2025/140035-Street lights,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,installation of Fixed Street lights,2024-09-09,2025-01-10,400000.0,123,Physical Inspection,18.7,15.0,45.0,100.00000000000004,15.0,5.61,2.25,6.75,10.0,1.5,33.730000000000004,100.00000000000004,73.7,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,73.5,8.5,7.0,41.61,100.00000000000004,73.7,73.7,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18117/2025-2026/164510-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,DHULE(DISTRICT COLLECTOR DHULE_IDA),BACHHAV SHOBHA DINESH,DHULE,Normal/Others,Mouje Kapadne Installation of paver blocks on the side strip on both sides of the concrete road from Borse High School to Vishnunagar.,2025-01-13,2026-03-12,1000000.0,423,Sanction,29.0,15.0,100.0,0.0,15.0,8.7,2.25,15.0,0.0,1.5,31.1,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 423 days.,70.0,70.0,72.4,7.0,7.0,41.45,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 423 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP770/2026-2027/180989-Installing tube-wells and borewells,Telangana,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),Sanjay Kumar Bandi,KARIMNAGAR,Normal/Others,"Drilling of Bore well and pump set in Govt. School, Kapuwada in Division No. 29 of Karimnagar Municipal Corporation",2025-03-11,2026-08-19,200000.0,526,Vendor Identification,34.4,15.0,100.0,0.0,15.0,10.32,2.25,15.0,0.0,1.5,33.26,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 526 days.,55.0,70.0,73.3,5.5,7.0,41.57,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 526 days. | High degree centrality and project volume concentration in agency network graph.
WS/MP18114/2025-2026/157446-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,Normal/Others,Construction of Sabhamandap on Gram Panchayat land near Sri Kshetra Vitthal-Rukmini Temple.,2024-12-09,2026-01-29,994001.0,416,Physical Inspection,19.7,15.0,100.0,0.0,15.0,5.91,2.25,15.0,0.0,1.5,27.38,100.0,73.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 416 days.,85.0,85.0,71.0,8.5,8.5,41.66,100.0,73.7,73.7,Recommendation-to-sanction approval delay of 416 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
