node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
IDA:HARDOI(DISTRICT MAGISTRATE HARDOI_IDA),HARDOI(DISTRICT MAGISTRATE HARDOI_IDA),IDA,12,48884859.0,56.0,4,0.0006,55.0
IDA:Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA),Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA),IDA,21,15332742.0,57.4,3,0.0006,55.0
IDA:TINSUKIA(DC Tinsukia),TINSUKIA(DC Tinsukia),IDA,34,25742773.0,53.8,2,0.0012,55.0
IDA:KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),IDA,21,8386163.0,52.6,2,0.0006,55.0
IDA:Gyalshing(DISTRICT COLLECTOR GYALSHING_IDA),Gyalshing(DISTRICT COLLECTOR GYALSHING_IDA),IDA,4,12000000.0,61.9,2,0.0006,55.0
IDA:SEONI(District Collector Seoni_IDA),SEONI(District Collector Seoni_IDA),IDA,38,22021506.0,39.1,7,0.0012,45.0
IDA:FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),IDA,109,22806610.0,41.1,46,0.0006,45.0
IDA:MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),IDA,96,65073379.0,39.4,13,0.0025,45.0
IDA:PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),IDA,106,90545225.0,37.0,8,0.0018,45.0
IDA:UTTARA KANNADA(DEPUTY COMMISSIONER UTTARKANNADA KARWAR_IDA),UTTARA KANNADA(DEPUTY COMMISSIONER UTTARKANNADA KARWAR_IDA),IDA,44,31225000.0,47.7,12,0.0006,45.0
IDA:GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),IDA,261,104566530.0,47.5,78,0.0012,45.0
IDA:BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),IDA,153,53988157.0,48.8,41,0.0018,45.0
IDA:KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),IDA,238,17594406.0,35.1,8,0.0006,45.0
IDA:VIDISHA(District Collector Vidisha_IDA),VIDISHA(District Collector Vidisha_IDA),IDA,47,29388899.0,36.0,14,0.0012,45.0
IDA:UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),IDA,59,26166692.0,48.6,12,0.0012,45.0
IDA:AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),IDA,126,71610652.0,36.4,10,0.0018,45.0
IDA:FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),IDA,165,41121264.0,18.5,9,0.0006,45.0
IDA:CHENGALPATTU(District Collector Chengalpattu_IDA),CHENGALPATTU(District Collector Chengalpattu_IDA),IDA,198,55485149.0,36.9,33,0.0012,45.0
IDA:MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),IDA,222,47742978.0,35.0,8,0.0018,45.0
IDA:Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),IDA,97,36157795.0,48.1,51,0.0012,45.0
IDA:ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA),ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA),IDA,34,21090905.0,46.4,8,0.0006,45.0
