node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
IDA:Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA),Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA),IDA,33,10523145.0,57.3,8,0.0006,70.0
IDA:MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),IDA,41,8149246.0,64.7,31,0.0006,70.0
IDA:MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),IDA,42,23729000.0,61.1,12,0.0006,70.0
IDA:HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),IDA,30,22499000.0,57.8,11,0.0006,70.0
IDA:NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),IDA,106,26936185.0,50.1,38,0.0006,70.0
IDA:Ariyalur(District Collector Ariyalur_IDA),Ariyalur(District Collector Ariyalur_IDA),IDA,10,16297362.0,66.0,6,0.0006,70.0
IDA:FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),IDA,29,7073912.0,58.3,22,0.0006,70.0
IDA:GONDIA(DISTRICT COLLECTOR GONDIA_IDA),GONDIA(DISTRICT COLLECTOR GONDIA_IDA),IDA,30,21487283.0,61.8,14,0.0012,70.0
IDA:VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),IDA,64,22700000.0,59.5,18,0.0006,70.0
IDA:YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),IDA,34,19188150.0,64.2,24,0.0018,70.0
IDA:Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),IDA,152,93410541.0,64.5,118,0.0018,70.0
IDA:Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),IDA,17,11929824.0,60.2,9,0.0006,70.0
IDA:SURYAPET(DISTRICT COLLECTOR SURYAPET),SURYAPET(DISTRICT COLLECTOR SURYAPET),IDA,32,7644141.0,56.3,5,0.0006,70.0
IDA:MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),IDA,69,43500000.0,50.8,9,0.0012,70.0
IDA:ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),IDA,37,33370070.0,57.6,19,0.0012,70.0
IDA:KANNUR(DISTRICT COLLECTOR KANNUR_IDA),KANNUR(DISTRICT COLLECTOR KANNUR_IDA),IDA,87,36864105.0,66.2,58,0.0018,70.0
IDA:DINDORI(District Collector Dindori_IDA),DINDORI(District Collector Dindori_IDA),IDA,15,7557496.0,62.4,6,0.0006,70.0
IDA:Niwari(District Collector Niwari_IDA),Niwari(District Collector Niwari_IDA),IDA,11,12550000.0,59.1,6,0.0006,70.0
IDA:EAST(COMMISSIONER EAST),EAST(COMMISSIONER EAST),IDA,23,13257653.0,53.3,13,0.0012,70.0
IDA:MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA),MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA),IDA,33,69874739.0,66.9,20,0.0012,70.0
IDA:Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),IDA,23,34628400.0,59.1,15,0.0006,70.0
IDA:Pandhurna(District Collector Pandhurna_IDA),Pandhurna(District Collector Pandhurna_IDA),IDA,40,15525000.0,50.6,14,0.0006,70.0
IDA:CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),IDA,40,109556444.0,63.9,16,0.0025,70.0
IDA:NANDED(DISTRICT COLLECTOR NANDED_IDA),NANDED(DISTRICT COLLECTOR NANDED_IDA),IDA,22,33878244.0,67.6,15,0.0012,70.0
IDA:REWA(DISTRICT COLLECTOR REWA_IDA),REWA(DISTRICT COLLECTOR REWA_IDA),IDA,37,38259819.0,67.2,33,0.0006,70.0
IDA:JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),IDA,17,14396637.0,60.6,13,0.0006,70.0
